date,pd_type,pd_count
2023-11-28,travelq_nil,1958
2023-11-28,ati_nil,2842
2023-11-28,ati_all,166162
2023-11-28,transition,69
2023-11-28,hospitalityq_nil,3188
2023-11-28,travelq,91343
2023-11-28,dac,2882
2023-11-28,parliament_committee_deputy,226
2023-11-28,parliament_committee,265
2023-11-27,grants,949374
2023-11-27,parliament_report,346
2023-11-27,briefingt,99070
2023-11-27,hospitalityq,22479
2023-11-27,wrongdoing,46
2023-11-27,travelq_nil,1956
2023-11-27,travela,475
2023-11-27,dac,2882
2023-11-27,contractsa,394
2023-11-27,parliament_committee,265
2023-11-27,hospitalityq_nil,3182
2023-11-27,grants_nil,167
2023-11-27,transition,69
2023-11-27,ati_all,166037
2023-11-27,qpnotes,4751
2023-11-27,transition_deputy,46
2023-11-27,parliament_committee_deputy,226
2023-11-27,contracts,1036728
2023-11-27,travelq,91223
2023-11-27,ati_nil,2840
2023-11-27,adminaircraft,20
2023-11-27,contracts_nil,74
2023-11-27,reclassification,11080
2023-11-27,reclassification_nil,836
2023-11-26,dac,2882
2023-11-26,ati_nil,2840
2023-11-26,travelq_nil,1956
2023-11-26,wrongdoing,46
2023-11-26,transition_deputy,46
2023-11-26,contractsa,394
2023-11-26,adminaircraft,20
2023-11-26,parliament_committee_deputy,226
2023-11-26,reclassification_nil,836
2023-11-26,hospitalityq,22479
2023-11-26,grants_nil,167
2023-11-26,hospitalityq_nil,3182
2023-11-26,parliament_committee,265
2023-11-26,ati_all,166037
2023-11-26,parliament_report,346
2023-11-26,reclassification,11080
2023-11-26,transition,69
2023-11-26,qpnotes,4751
2023-11-26,travela,475
2023-11-26,travelq,91223
2023-11-26,briefingt,99070
2023-11-26,contracts_nil,74
2023-11-26,contracts,1036728
2023-11-26,grants,949374
2023-11-24,travelq,91206
2023-11-24,transition,66
2023-11-24,grants_nil,167
2023-11-24,reclassification,11080
2023-11-24,reclassification_nil,836
2023-11-24,parliament_report,345
2023-11-24,ati_nil,2838
2023-11-24,qpnotes,4751
2023-11-24,adminaircraft,20
2023-11-24,contractsa,394
2023-11-24,transition_deputy,46
2023-11-24,travela,475
2023-11-24,parliament_committee_deputy,226
2023-11-24,travelq_nil,1952
2023-11-24,dac,2879
2023-11-24,contracts,1036728
2023-11-24,hospitalityq_nil,3180
2023-11-24,hospitalityq,22478
2023-11-24,parliament_committee,265
2023-11-24,ati_all,165875
2023-11-24,briefingt,99036
2023-11-24,wrongdoing,46
2023-11-24,contracts_nil,74
2023-11-24,grants,949374
2023-11-23,transition,63
2023-11-23,reclassification,11080
2023-11-23,contractsa,393
2023-11-23,grants,949374
2023-11-23,grants_nil,167
2023-11-23,hospitalityq_nil,3179
2023-11-23,adminaircraft,20
2023-11-23,travela,475
2023-11-23,ati_nil,2837
2023-11-23,parliament_committee_deputy,226
2023-11-23,parliament_report,344
2023-11-23,contracts,1036640
2023-11-23,travelq,91192
2023-11-23,contracts_nil,74
2023-11-23,wrongdoing,46
2023-11-23,parliament_committee,265
2023-11-23,briefingt,99036
2023-11-23,travelq_nil,1952
2023-11-23,qpnotes,4751
2023-11-23,transition_deputy,46
2023-11-23,dac,2875
2023-11-23,hospitalityq,22474
2023-11-23,ati_all,165904
2023-11-23,reclassification_nil,836
2023-11-22,ati_all,165902
2023-11-22,hospitalityq,22473
2023-11-22,contracts,1036640
2023-11-22,transition,63
2023-11-22,travelq,91206
2023-11-22,grants_nil,167
2023-11-22,parliament_committee_deputy,226
2023-11-22,parliament_committee,265
2023-11-22,briefingt,99037
2023-11-22,ati_nil,2836
2023-11-22,qpnotes,4751
2023-11-22,dac,2870
2023-11-22,travelq_nil,1952
