date,pd_type,pd_count
2024-03-15,hospitalityq_nil,3358
2024-03-15,hospitalityq,23256
2024-03-15,contractsa,398
2024-03-15,ati_nil,3224
2024-03-15,grants,984351
2024-03-15,parliament_committee_deputy,257
2024-03-15,grants_nil,172
2024-03-15,reclassification_nil,877
2024-03-15,wrongdoing,48
2024-03-15,briefingt,106221
2024-03-15,transition,70
2024-03-14,wrongdoing,48
2024-03-14,contracts,1059877
2024-03-14,transition,70
2024-03-14,parliament_report,379
2024-03-14,grants,984351
2024-03-14,contracts_nil,76
2024-03-14,ati_nil,3219
2024-03-14,travelq_nil,2013
2024-03-14,transition_deputy,48
2024-03-14,hospitalityq,23256
2024-03-14,reclassification_nil,877
2024-03-14,qpnotes,5298
2024-03-14,adminaircraft,20
2024-03-14,ati_all,171314
2024-03-14,reclassification,11293
2024-03-14,parliament_committee_deputy,257
2024-03-14,briefingt,106202
2024-03-14,hospitalityq_nil,3357
2024-03-14,travela,493
2024-03-14,travelq,96171
2024-03-14,parliament_committee,279
2024-03-14,grants_nil,172
2024-03-14,contractsa,398
2024-03-14,dac,3002
2024-03-13,grants_nil,172
2024-03-13,contracts,1059694
2024-03-13,hospitalityq_nil,3356
2024-03-13,reclassification_nil,876
2024-03-13,contractsa,398
2024-03-13,grants,984263
2024-03-13,briefingt,106203
2024-03-13,dac,3002
2024-03-13,parliament_committee_deputy,255
2024-03-13,reclassification,11288
2024-03-13,transition,70
2024-03-13,hospitalityq,23256
2024-03-13,wrongdoing,48
2024-03-13,travelq_nil,2013
2024-03-13,contracts_nil,76
2024-03-13,parliament_report,378
2024-03-13,adminaircraft,20
2024-03-13,qpnotes,5298
2024-03-13,ati_all,171294
2024-03-13,travela,493
2024-03-13,parliament_committee,279
2024-03-13,transition_deputy,48
2024-03-13,travelq,96165
2024-03-13,ati_nil,3217
2024-03-12,reclassification_nil,876
2024-03-12,adminaircraft,20
2024-03-12,transition,69
2024-03-12,contracts_nil,76
2024-03-12,contractsa,398
2024-03-12,parliament_committee_deputy,253
2024-03-12,travelq,96163
2024-03-12,travelq_nil,2013
2024-03-12,grants_nil,172
2024-03-12,travela,493
2024-03-12,wrongdoing,48
2024-03-12,ati_nil,3213
